Page URL,Source,Followers,Date,Time,Time Zone,Post Type,Interactions,Post Message,Post Link
Facebook.com/Txrebels,Heart of Texas,160596,2016-12-14,18:15:00 , GMT-0500,Facebook,148916,,https://www.facebook.com/txrebels/posts/1073959529392536
Facebook.com/Txrebels,Heart of Texas,240598,2017-07-24,22:00:00 , GMT-0400,Facebook,110640,,https://www.facebook.com/txrebels/posts/1295547340567086
Facebook.com/Txrebels,Heart of Texas,249470,2017-08-21,18:30:00 , GMT-0400,Facebook,79548,,https://www.facebook.com/txrebels/posts/1325150370940116
Facebook.com/Txrebels,Heart of Texas,202767,2017-04-12,16:00:00 , GMT-0400,Facebook,64311,,https://www.facebook.com/txrebels/posts/1188651411256680
Facebook.com/Txrebels,Heart of Texas,164245,2016-12-26,18:30:00 , GMT-0500,Facebook,44176,,https://www.facebook.com/txrebels/posts/1084070288381460
Facebook.com/Txrebels,Heart of Texas,185339,2017-02-27,17:30:00 , GMT-0500,Facebook,43094,,https://www.facebook.com/txrebels/posts/1144266829028472
Facebook.com/Txrebels,Heart of Texas,249618,2017-08-22,16:30:00 , GMT-0400,Facebook,40349,,https://www.facebook.com/txrebels/posts/1326086440846509
Facebook.com/Txrebels,Heart of Texas,191008,2017-03-10,15:59:00 , GMT-0500,Facebook,37444,,https://www.facebook.com/txrebels/posts/1154388784682943
Facebook.com/Txrebels,Heart of Texas,202767,2017-04-12,16:59:00 , GMT-0400,Facebook,34255,,https://www.facebook.com/txrebels/posts/1188652414589913
Facebook.com/Txrebels,Heart of Texas,225723,2017-06-14,18:30:00 , GMT-0400,Facebook,33849,,https://www.facebook.com/txrebels/posts/1254079924713828
Facebook.com/Txrebels,Heart of Texas,229567,2017-06-17,19:00:00 , GMT-0400,Facebook,32665,,https://www.facebook.com/txrebels/posts/1255181941270293
Facebook.com/Txrebels,Heart of Texas,225270,2017-06-13,16:59:00 , GMT-0400,Facebook,27492,,https://www.facebook.com/txrebels/posts/1252951561493331
Facebook.com/Txrebels,Heart of Texas,200756,2017-04-03,20:08:00 , GMT-0400,Facebook,26945,,https://www.facebook.com/txrebels/posts/1173086739479814
Facebook.com/Txrebels,Heart of Texas,192166,2017-03-14,19:00:00 , GMT-0400,Facebook,24203,,https://www.facebook.com/txrebels/posts/1158601674261654
Facebook.com/Txrebels,Heart of Texas,247358,2017-08-14,16:30:00 , GMT-0400,Facebook,23338,,https://www.facebook.com/txrebels/posts/1317106205077866
Facebook.com/Txrebels,Heart of Texas,174651,2017-01-30,15:59:00 , GMT-0500,Facebook,23231,,https://www.facebook.com/txrebels/posts/1117908731664282
Facebook.com/Txrebels,Heart of Texas,177366,2017-02-06,17:00:00 , GMT-0500,Facebook,22410,,https://www.facebook.com/txrebels/posts/1125422947579527
Facebook.com/Txrebels,Heart of Texas,244655,2017-08-03,14:00:00 , GMT-0400,Facebook,21662,,https://www.facebook.com/txrebels/posts/1306111196177367
Facebook.com/Txrebels,Heart of Texas,222325,2017-05-31,19:31:00 , GMT-0400,Facebook,20360,,https://www.facebook.com/txrebels/posts/1237694026352418
Facebook.com/Txrebels,Heart of Texas,237156,2017-07-13,18:30:00 , GMT-0400,Facebook,19754,,https://www.facebook.com/txrebels/posts/1283693765085777
Facebook.com/Txrebels,Heart of Texas,225116,2017-06-12,18:00:00 , GMT-0400,Facebook,19559,,https://www.facebook.com/txrebels/posts/1248375678617586
Facebook.com/Txrebels,Heart of Texas,181187,2017-02-16,15:00:11 , GMT-0500,Facebook,17080,,https://www.facebook.com/txrebels/posts/1134045593383929
Facebook.com/Txrebels,Heart of Texas,169901,2017-01-11,15:00:00 , GMT-0500,Facebook,16860,,https://www.facebook.com/txrebels/posts/1097355633719592
Facebook.com/Txrebels,Heart of Texas,236610,2017-07-11,18:01:00 , GMT-0400,Facebook,16375,,https://www.facebook.com/txrebels/posts/1281924498596037
Facebook.com/Txrebels,Heart of Texas,178061,2017-02-08,15:59:04 , GMT-0500,Facebook,15772,,https://www.facebook.com/txrebels/posts/1127303444058144
Facebook.com/Txrebels,Heart of Texas,194385,2017-03-23,19:32:14 , GMT-0400,Facebook,14695,,https://www.facebook.com/txrebels/posts/1166891013432720
Facebook.com/Txrebels,Heart of Texas,222446,2017-06-01,18:30:00 , GMT-0400,Facebook,14516,,https://www.facebook.com/txrebels/posts/1238726072915880
Facebook.com/Txrebels,Heart of Texas,246175,2017-08-09,20:00:00 , GMT-0400,Facebook,14409,,https://www.facebook.com/txrebels/posts/1312136658908154
Facebook.com/Txrebels,Heart of Texas,181540,2017-02-17,15:59:00 , GMT-0500,Facebook,14286,,https://www.facebook.com/txrebels/posts/1135125506609271
Facebook.com/Txrebels,Heart of Texas,195421,2017-03-24,19:23:00 , GMT-0400,Facebook,13741,,https://www.facebook.com/txrebels/posts/1167857960002692
Facebook.com/Txrebels,Heart of Texas,246612,2017-08-11,20:00:00 , GMT-0400,Facebook,13448,,https://www.facebook.com/txrebels/posts/1314027772052376
Facebook.com/Txrebels,Heart of Texas,180884,2017-02-15,18:31:00 , GMT-0500,Facebook,13418,,https://www.facebook.com/txrebels/posts/1132997076822114
Facebook.com/Txrebels,Heart of Texas,211767,2017-04-21,19:30:00 , GMT-0400,Facebook,13068,,https://www.facebook.com/txrebels/posts/1200731400048681
Facebook.com/Txrebels,Heart of Texas,215317,2017-05-01,18:00:00 , GMT-0400,Facebook,13044,,https://www.facebook.com/txrebels/posts/1203135436474944
Facebook.com/Txrebels,Heart of Texas,232375,2017-06-23,16:00:00 , GMT-0400,Facebook,13027,,https://www.facebook.com/txrebels/posts/1263490710439416
Facebook.com/Txrebels,Heart of Texas,197903,2017-03-27,16:59:00 , GMT-0400,Facebook,12853,,https://www.facebook.com/txrebels/posts/1170774949710993
Facebook.com/Txrebels,Heart of Texas,224132,2017-06-09,18:00:00 , GMT-0400,Facebook,12829,,https://www.facebook.com/txrebels/posts/1248362688618885
Facebook.com/Txrebels,Heart of Texas,186855,2017-03-02,15:59:00 , GMT-0500,Facebook,12821,,https://www.facebook.com/txrebels/posts/1146904502098038
Facebook.com/Txrebels,Heart of Texas,233349,2017-06-27,21:00:00 , GMT-0400,Facebook,12427,,https://www.facebook.com/txrebels/posts/1267423936712760
Facebook.com/Txrebels,Heart of Texas,189984,2017-03-08,15:59:00 , GMT-0500,Facebook,12300,,https://www.facebook.com/txrebels/posts/1151237011664787
Facebook.com/Txrebels,Heart of Texas,217785,2017-05-10,19:00:00 , GMT-0400,Facebook,12233,,https://www.facebook.com/txrebels/posts/1218597028262118
Facebook.com/Txrebels,Heart of Texas,189051,2017-03-06,17:00:01 , GMT-0500,Facebook,12085,,https://www.facebook.com/txrebels/posts/1150332201755268
Facebook.com/Txrebels,Heart of Texas,245271,2017-08-06,20:00:00 , GMT-0400,Facebook,12058,,https://www.facebook.com/txrebels/posts/1307221946066292
Facebook.com/Txrebels,Heart of Texas,224132,2017-06-09,19:00:00 , GMT-0400,Facebook,12044,,https://www.facebook.com/txrebels/posts/1248363221952165
Facebook.com/Txrebels,Heart of Texas,215476,2017-05-02,19:03:00 , GMT-0400,Facebook,11902,,https://www.facebook.com/txrebels/posts/1203146729807148
Facebook.com/Txrebels,I Love Texas,373495,2017-06-15,7:36:51 , GMT-0400,Facebook,11581,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1314102018659169
Facebook.com/Txrebels,Heart of Texas,194687,2017-03-24,19:00:00 , GMT-0400,Facebook,11417,,https://www.facebook.com/txrebels/posts/1167857043336117
Facebook.com/Txrebels,Heart of Texas,211510,2017-04-20,18:00:00 , GMT-0400,Facebook,11302,,https://www.facebook.com/txrebels/posts/1199359873519167
Facebook.com/Txrebels,I Love Texas,373495,2017-06-15,7:37:11 , GMT-0400,Facebook,11142,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1314102145325823
Facebook.com/Txrebels,Heart of Texas,215610,2017-05-03,20:07:00 , GMT-0400,Facebook,11125,,https://www.facebook.com/txrebels/posts/1203151906473297
Facebook.com/Txrebels,Heart of Texas,183464,2017-02-22,18:00:01 , GMT-0500,Facebook,11007,,https://www.facebook.com/txrebels/posts/1138880886233733
Facebook.com/Txrebels,Heart of Texas,221630,2017-05-27,18:29:00 , GMT-0400,Facebook,10946,,https://www.facebook.com/txrebels/posts/1230310887090732
